Index;Markov_price;Call_Price;Put_Price
0;208.9;100.856;0.318193
1;208.116;100.082;0.328165
2;208.077;100.044;0.328669
3;200.899;92.9727;0.435946
4;197.908;90.0363;0.490342
5;198.576;90.6916;0.477637
6;203.689;95.7175;0.390629
7;196.652;88.8044;0.515165
8;188.632;80.9752;0.705652
9;182.304;74.8459;0.903733
10;190.185;82.4868;0.663986
11;194.115;86.3216;0.569133
12;198.804;90.9152;0.473377
13;195.456;87.6336;0.539936
14;193.688;85.9043;0.57875
15;188.736;81.0767;0.702772
16;181.603;74.1693;0.928817
17;189.187;81.5149;0.69048
18;188.123;80.4805;0.719857
19;187.261;79.6435;0.744555
20;190.797;83.0826;0.648259
21;188.201;80.5562;0.717666
22;183.993;76.4765;0.846073
23;176.961;69.7112;1.11288
24;178.872;71.5429;1.03312
25;185.788;78.2144;0.788736
26;186.549;78.9526;0.765591
27;194.313;86.5156;0.564717
28;195.955;88.122;0.529458
29;198.159;90.2819;0.48554
30;202.27;94.3206;0.413063
31;198.478;90.5954;0.47948
32;194.635;86.8304;0.557624
33;200.55;92.6297;0.441971
34;195.9;88.0679;0.53061
35;188.097;80.4551;0.720594
36;176.672;69.4347;1.12545
37;175.492;68.3077;1.17823
38;172.868;65.8097;1.30447
39;171.468;64.4827;1.37709
40;170.91;63.9545;1.40714
41;167.576;60.814;1.60035
42;166.82;60.1055;1.64761
43;171.258;64.2841;1.38831
44;161.758;55.3969;2.00077
45;165.684;59.0426;1.72123
46;164.363;57.8114;1.81079
47;162.765;56.3283;1.92514
48;159.185;53.0304;2.20725
49;159.904;53.6891;2.14763
50;156.423;50.5122;2.45168
51;157.428;51.4251;2.35993
52;153.738;48.0895;2.71393
53;152.468;46.9526;2.84709
54;156.977;51.0155;2.40064
55;162.664;56.2341;1.93265
56;165.475;58.8474;1.73511
57;169.734;62.8445;1.47252
58;164.256;57.7115;1.81827
59;161.795;55.4308;1.99797
60;156.078;50.1992;2.484
61;161.937;55.5617;1.98717
62;167.878;61.0979;1.58181
63;161.936;55.5611;1.98722
64;158.253;52.1773;2.28705
65;150.306;45.0314;3.08822
66;148.436;43.3857;3.31221
67;142.168;37.9855;4.17994
68;134.563;31.717;5.51665
69;130.991;28.8996;6.27132
70;133.094;30.5482;5.81623
71;136.464;33.2515;5.14976
72;133.116;30.5652;5.81173
73;135.924;32.8136;5.25154
74;138.202;34.6737;4.83422
75;139.655;35.8768;4.58418
76;140.352;36.4585;4.32445
77;147.534;42.5974;3.42565
78;144.784;40.2161;3.79465
79;145.453;40.792;3.70161
80;144.25;39.7578;3.87051
81;145.778;41.0731;3.65709
82;146.229;41.4632;3.59628
83;137.499;34.0967;4.95953
84;136.495;33.277;5.14389
85;140.307;36.4204;4.47599
86;134.002;31.2686;5.62943
87;131.138;29.0143;6.23833
88;123.079;23.0012;6.343534
89;123.279;23.1442;8.22721
90;123.783;23.5052;8.08458
91;131.78;29.5145;6.09689
92;133.715;31.0404;5.68786
93;132.71;30.2447;5.89705
94;128.965;27.3423;6.73984
95;131.402;29.2197;6.1798
96;129.569;27.8032;6.597
97;128.39;26.9058;6.87848
98;131.434;29.2447;6.17272
99;128.522;27.0062;6.84631
